event_id,status,capacity,event_name,description,location,time,group_id,organizer_id,tag_1,tag_2,duration
6abcc4ed-96e2-4aa3-9dca-92e0e0844b42,Cancelled,8,Wedding,Thrilling adventure,456 Elm Avenue,2023-12-06T09:54:52Z,,,finance,product launch,30
ec19f37d-2bbd-4786-b7fa-0e9eda8bd97a,Completed,62,Art Exhibition,Thrilling adventure,789 Oak Lane,2022-12-20T22:02:01Z,,,finance,training,45
09514ac4-abc0-4502-a77b-c5f200bcf3a2,Cancelled,31,Product Launch,Exciting event,987 Pine Road,2023-07-05T01:28:07Z,,,technology,meetup,60
8f8fbd0e-1cde-4611-bfc9-1ef02fb3fbde,In Progress,46,Wedding,Memorable occasion,987 Pine Road,2023-02-15T14:34:33Z,,,marketing,product launch,135
3bf8391e-e0d7-4c40-b2db-dbfa1aace0f5,In Progress,86,Conference,Thrilling adventure,123 Main Street,2022-12-14T03:53:52Z,,,business,seminar,105
3f7ffdb6-964d-416c-93aa-527adb82e8e2,In Progress,20,Wedding,Memorable occasion,456 Elm Avenue,2023-10-30T20:40:38Z,,,education,conference,15
a3e5e598-289b-4c10-960d-9debad64b9aa,Scheduled,61,Conference,Thrilling adventure,321 Maple Court,2023-03-18T21:19:46Z,,,technology,panel discussion,60
beef6cdc-396c-45f4-b042-a1c57067e4bf,Completed,49,Birthday Party,Unforgettable experience,987 Pine Road,2023-06-21T15:54:02Z,,,business,webinar,75
060e7fd4-c2a8-4ff8-af76-a81368e1dbf7,Completed,3,Wedding,Exciting event,123 Main Street,2023-08-17T09:49:43Z,,,finance,hackathon,15
fcf9c1a5-f804-4bc4-841d-dc3adca5d9ff,Completed,18,Conference,Thrilling adventure,987 Pine Road,2023-10-21T00:56:20Z,,,finance,hackathon,30
0444c578-8df8-461f-910b-d534db4afcb7,Completed,1,Charity Gala,Memorable occasion,123 Main Street,2023-05-18T07:54:37Z,,,science,seminar,30
6e70f0d5-fd40-425f-ad6d-06e379b9bf3e,Scheduled,48,Fashion Show,Exciting event,789 Oak Lane,2023-03-14T07:22:07Z,,,sports,training,60
4cfc4b31-283b-4f1c-a2ae-4ce3ec316555,In Progress,35,Fashion Show,Exciting event,789 Oak Lane,2023-09-04T00:42:19Z,,,entertainment,product launch,45
52c83a1a-d90c-4f5f-954b-c0ccaa2fdebb,In Progress,21,Music Festival,Thrilling adventure,789 Oak Lane,2023-06-12T18:40:13Z,,,healthcare,training,45
284afa67-d218-4005-a727-dd92e9ed46fe,Cancelled,40,Fashion Show,Memorable occasion,987 Pine Road,2023-07-17T03:21:49Z,,,finance,hackathon,15
fff6c6bc-a1be-4c6b-9d6b-7be873fd056c,Scheduled,10,Fashion Show,Exciting event,123 Main Street,2023-01-06T14:24:47Z,,,science,meetup,105
7258541b-0ee6-4d37-9fd2-e9d958d66bd6,Completed,45,Product Launch,Unforgettable experience,123 Main Street,2023-02-13T03:49:41Z,,,education,hackathon,15
ff84fb1d-bdea-42cf-8cef-6f512b8b8789,Completed,32,Product Launch,Unforgettable experience,789 Oak Lane,2023-02-27T19:33:06Z,,,science,meetup,120
f19a43fd-bdf4-4bb9-9e59-a97739cab254,Cancelled,62,Movie Premiere,Memorable occasion,789 Oak Lane,2023-05-12T12:19:06Z,,,sports,product launch,30
bee59446-372c-4d87-bd7e-ef08615cedea,Scheduled,18,Music Festival,Unforgettable experience,123 Main Street,2023-03-10T09:28:53Z,,,sports,meetup,15
6527fac9-46e9-4abd-bcc3-2bdef0e8cea4,Cancelled,76,Art Exhibition,Thrilling adventure,789 Oak Lane,2023-03-28T16:17:39Z,,,finance,seminar,60
7bd2b88f-e6cb-4c71-991d-4cf8d2482cef,Completed,13,Charity Gala,Unforgettable experience,789 Oak Lane,2023-06-20T21:00:12Z,,,education,conference,105
08b4e73c-89f9-48c1-9165-e6cc8d3f7d43,Completed,61,Fashion Show,Memorable occasion,987 Pine Road,2023-11-18T13:02:51Z,,,marketing,conference,90
44cbdd5e-eafc-4a3e-b3bf-242f50e118fa,Scheduled,89,Conference,Memorable occasion,321 Maple Court,2023-06-04T23:26:22Z,,,technology,training,75
369bda5e-a7f2-4aac-ae55-ef9b977a5c72,Cancelled,98,Charity Gala,Remarkable gathering,321 Maple Court,2023-01-17T08:57:08Z,,,marketing,seminar,60
c9b289c3-aa1a-472d-84de-430eb5ea8d6a,Scheduled,49,Fashion Show,Thrilling adventure,789 Oak Lane,2023-07-18T03:57:59Z,,,technology,exhibition,105
b22fbd6a-a51a-407b-8778-53afdbefd2dc,In Progress,14,Music Festival,Unforgettable experience,321 Maple Court,2023-06-05T08:37:16Z,,,education,workshop,90
a0184a70-b8fb-4a1f-b64f-1abb08bacab1,Scheduled,6,Movie Premiere,Remarkable gathering,123 Main Street,2023-07-08T19:13:44Z,,,entertainment,webinar,75
fed9cebe-f724-4c9e-b351-cdfa40db1e2f,Completed,30,Sports Tournament,Thrilling adventure,321 Maple Court,2023-11-09T15:56:18Z,,,business,meetup,105
6a23e8d8-a3aa-4f09-9fa3-a63a94b7c2ce,Scheduled,8,Conference,Memorable occasion,123 Main Street,2022-12-29T17:57:37Z,,,sports,hackathon,105
73cd3d8e-26fe-420f-843d-d9ff7d6a2b1c,Cancelled,23,Sports Tournament,Memorable occasion,321 Maple Court,2023-10-03T00:30:31Z,,,finance,hackathon,60
1f1ccc19-b0ca-43fd-8f2c-06ed331a50d5,Scheduled,55,Wedding,Unforgettable experience,321 Maple Court,2022-12-21T12:06:17Z,,,sports,seminar,45
9d89eba6-1556-451f-8c2c-76a1709f08e9,Cancelled,95,Charity Gala,Memorable occasion,123 Main Street,2023-05-17T07:20:48Z,,,sports,hackathon,90
f6ffdb0d-7ebc-4bd5-a9e1-c2a9f36489a5,Scheduled,96,Wedding,Unforgettable experience,987 Pine Road,2023-01-17T06:05:50Z,,,marketing,seminar,150
0f852b74-c4ba-4bbb-a09b-2f9dcbbf9faa,Scheduled,55,Fashion Show,Thrilling adventure,789 Oak Lane,2023-01-07T13:55:03Z,,,marketing,exhibition,30
4089ad83-2ac3-411d-aebd-8e1cc4521d5e,Scheduled,86,Movie Premiere,Exciting event,321 Maple Court,2023-08-09T05:19:57Z,,,finance,panel discussion,30
2acf6124-ade3-43a0-83cc-af2f150d49aa,Cancelled,69,Art Exhibition,Memorable occasion,456 Elm Avenue,2023-04-20T13:14:41Z,,,science,hackathon,150
8a2c54c3-abf0-4ecb-996b-e6be54074d00,Scheduled,46,Charity Gala,Remarkable gathering,123 Main Street,2023-09-25T15:28:04Z,,,marketing,webinar,75
aacace06-ea41-47af-8afc-bf5be2ce9eae,In Progress,71,Art Exhibition,Exciting event,456 Elm Avenue,2023-01-20T20:54:58Z,,,science,exhibition,150
dd3abca4-efb8-4d8f-a6cc-dbfb1cbfdfc1,Completed,66,Music Festival,Thrilling adventure,123 Main Street,2023-12-08T18:38:02Z,,,sports,panel discussion,75
5d97613b-fdb7-4590-98c4-cc7472ceb843,Cancelled,71,Sports Tournament,Unforgettable experience,987 Pine Road,2023-10-05T15:25:18Z,,,technology,training,135
2a9ef3da-dabd-4be6-9a4c-64e805eefca7,Scheduled,58,Product Launch,Unforgettable experience,456 Elm Avenue,2023-11-02T12:43:41Z,,,technology,meetup,120
fcf5e56d-ebe5-4e5d-8cfb-7c9d271bcfa3,Completed,25,Sports Tournament,Memorable occasion,456 Elm Avenue,2023-04-02T08:02:59Z,,,education,exhibition,135
f2ada8e9-da6f-404f-aa94-7fc529a4bbbb,Completed,7,Charity Gala,Exciting event,789 Oak Lane,2023-01-26T02:23:35Z,,,healthcare,conference,60
3169cdcb-5bfe-470a-aee0-da88b2c8f558,In Progress,17,Music Festival,Thrilling adventure,321 Maple Court,2023-04-09T04:25:37Z,,,entertainment,training,105
8de4ff0a-e40c-44f9-ae8d-bcfd21d26fc7,Completed,11,Sports Tournament,Memorable occasion,789 Oak Lane,2023-08-18T19:41:58Z,,,entertainment,product launch,135
f3baaba9-ddbc-45ac-9fcb-a9e5aa3d38d0,In Progress,27,Art Exhibition,Exciting event,321 Maple Court,2023-01-02T00:49:18Z,,,healthcare,conference,135
3caa1450-5b43-4d5b-8f8f-4ebd0c7dad97,In Progress,78,Sports Tournament,Remarkable gathering,321 Maple Court,2023-04-08T18:04:02Z,,,science,product launch,120
462aedfa-5bbb-4f1b-be6d-b308a7daf077,Completed,70,Movie Premiere,Memorable occasion,456 Elm Avenue,2023-05-28T15:03:26Z,,,healthcare,seminar,15
c903723d-2314-4ac6-9be9-caabd7c4498d,In Progress,52,Birthday Party,Unforgettable experience,987 Pine Road,2023-09-24T13:56:06Z,,,technology,product launch,135
2f9f0da5-d9bc-4d8e-8ed6-7f95c5f2fbba,Cancelled,46,Art Exhibition,Memorable occasion,789 Oak Lane,2022-12-29T09:35:11Z,,,entertainment,product launch,15
abfacc10-fa49-4cf1-8dff-5d62ba55e501,In Progress,25,Conference,Memorable occasion,456 Elm Avenue,2023-05-07T01:05:04Z,,,sports,panel discussion,90
fd4bcb5c-4cbf-4f1c-bdfc-ef2e35a37c96,Cancelled,96,Conference,Thrilling adventure,123 Main Street,2023-11-28T07:21:28Z,,,marketing,product launch,105
ef2644d7-585d-4d7a-981e-bce3a2fbd7df,Completed,58,Art Exhibition,Exciting event,789 Oak Lane,2023-02-17T11:33:37Z,,,technology,panel discussion,90
d1a85ed6-81ba-46fc-9d14-42efbe427acf,Cancelled,12,Fashion Show,Memorable occasion,789 Oak Lane,2023-03-28T21:10:01Z,,,technology,product launch,75
2ab4f841-7c91-475c-af1b-fc27a2a1bbcc,In Progress,42,Product Launch,Remarkable gathering,456 Elm Avenue,2023-11-06T12:56:26Z,,,finance,seminar,105
adfd7fa7-ccb2-498d-b3a6-f7caeeb801ec,Cancelled,76,Conference,Memorable occasion,987 Pine Road,2023-04-23T20:51:12Z,,,sports,exhibition,150
309ea1a9-8dc5-428d-8e52-d0c038f896b7,Scheduled,28,Art Exhibition,Thrilling adventure,123 Main Street,2023-09-20T19:18:16Z,,,healthcare,training,90
783ccead-4031-4e4e-aa84-ee1caba7d3b6,In Progress,95,Sports Tournament,Memorable occasion,123 Main Street,2023-08-06T02:18:56Z,,,education,training,105
5ce97da6-ae9d-4b9e-9fbb-6750d845adae,Cancelled,38,Birthday Party,Unforgettable experience,789 Oak Lane,2023-05-03T07:20:38Z,,,business,training,120
adea451e-8abe-4fc7-8780-b751ad21b4e7,Scheduled,66,Sports Tournament,Memorable occasion,123 Main Street,2023-07-30T09:36:30Z,,,business,training,120
2aaf2c49-d904-4a29-8ab6-46bbbd66f28c,In Progress,13,Movie Premiere,Memorable occasion,321 Maple Court,2023-01-25T07:50:30Z,,,entertainment,workshop,135
f0a51cdd-fc97-4187-bfc4-b5bae4e8c416,Cancelled,56,Birthday Party,Remarkable gathering,321 Maple Court,2023-03-21T02:40:02Z,,,finance,product launch,45
a5dcb0e2-fb3e-48fd-ad72-4eae7f4a9d4f,In Progress,97,Fashion Show,Unforgettable experience,456 Elm Avenue,2023-06-15T06:20:25Z,,,education,hackathon,60
cbce5d46-0b6e-4ebb-a514-aa47293df0cf,In Progress,31,Fashion Show,Thrilling adventure,123 Main Street,2023-10-03T02:28:38Z,,,entertainment,product launch,90
c9dab4dc-f60b-41bb-91cc-f8dc6dc2bc0d,Scheduled,56,Sports Tournament,Exciting event,456 Elm Avenue,2023-12-03T14:57:40Z,,,business,product launch,105
0145ee59-d628-4e18-84bf-656df2160448,Scheduled,1,Product Launch,Exciting event,987 Pine Road,2023-08-13T13:56:54Z,,,marketing,exhibition,135
bb9bb4db-eea6-40f2-b5ca-ed8acfb2dc86,In Progress,84,Music Festival,Memorable occasion,321 Maple Court,2023-04-17T21:59:12Z,,,finance,product launch,60
d20d9d27-c948-48cf-9cab-8aeade6e5ddd,Completed,6,Charity Gala,Thrilling adventure,456 Elm Avenue,2023-02-11T04:49:09Z,,,entertainment,conference,75
b3feaac2-ca2d-4d3b-9f0e-a19cd0f97dee,Scheduled,18,Art Exhibition,Unforgettable experience,987 Pine Road,2023-07-24T03:44:29Z,,,sports,meetup,90
182d794d-a416-4240-a2e0-ca5561e4be41,Completed,48,Fashion Show,Unforgettable experience,987 Pine Road,2023-10-29T00:04:00Z,,,healthcare,meetup,105
513d631c-de4d-43f6-8bf0-ae26c5cdcdfc,Completed,99,Fashion Show,Memorable occasion,987 Pine Road,2023-05-29T12:02:13Z,,,healthcare,panel discussion,15
1889f98d-3d7f-4d4b-960d-20156f531ecc,Completed,87,Music Festival,Thrilling adventure,789 Oak Lane,2023-07-01T23:46:54Z,,,healthcare,panel discussion,150
ed59acbf-f846-4ef5-b711-075f1b57ae95,Scheduled,96,Wedding,Exciting event,987 Pine Road,2023-08-03T15:15:38Z,,,finance,exhibition,60
ea1ff68c-4d4d-4ad7-91c7-fd197ef75c93,Scheduled,49,Birthday Party,Thrilling adventure,987 Pine Road,2023-04-16T09:52:25Z,,,marketing,exhibition,120
5dbd32f7-3a8a-4f4e-b2ba-0efb1affa001,Cancelled,17,Sports Tournament,Remarkable gathering,456 Elm Avenue,2023-02-27T01:29:33Z,,,education,meetup,120
a799e8c5-1ad9-4653-bf9f-e501c8cae61f,Cancelled,11,Movie Premiere,Unforgettable experience,987 Pine Road,2023-02-11T00:51:15Z,,,art,exhibition,90
e3ea4876-ec8b-4b3b-bb79-0639b3265e43,Cancelled,29,Product Launch,Thrilling adventure,123 Main Street,2023-10-29T12:12:53Z,,,entertainment,conference,60
75fef319-e6ff-4f7e-b0cc-c341e514ab6e,Completed,73,Movie Premiere,Memorable occasion,456 Elm Avenue,2023-10-23T11:19:09Z,,,business,meetup,30
ee7e6e7f-e82c-4baa-8f77-0f85eba2f2e2,Scheduled,32,Art Exhibition,Exciting event,123 Main Street,2023-08-09T07:01:13Z,,,technology,webinar,15
